KO,Bsal_1_15,Bsal_1_29,Bsal_2_15,Bsal_2_29,Bsal_3_15,Bsal_4_15,Bsal_4_29,
K03473,0,0,0,0,0,0,0,
K02379,0,0,0,0,0,0,0,
K00865,0,0,0,0,0,0,0,
K15976,0,0,0,0,1,0,0,
K06915,2,2,0,0,0,0,0,
K02946,0,0,2,0,2,0,0,
K02906,1,0,2,0,0,0,2,
K02926,0,3,0,0,0,0,0,
K03702,0,2,0,0,0,2,2,
K03098,6,4,2,0,4,0,0,
K05786,1,0,0,0,0,0,0,
K11747,0,0,0,0,0,0,0,
K03312,0,0,0,0,0,0,0,
K03821,0,0,2,0,0,0,0,
K01256,0,0,10,0,0,0,0,
K05520,0,0,0,0,0,0,0,
K02434,0,1,0,0,2,0,0,
K01753,0,0,0,0,0,0,0,
K13444,0,0,0,0,0,0,0,
K05708,0,0,0,0,2,0,0,
K05709,0,0,0,0,0,0,0,
K05710,0,0,0,0,2,0,0,
K05711,0,0,0,0,0,0,0,
K05713,0,0,0,0,0,0,0,
K06998,0,0,0,0,0,0,0,
K08303,0,0,0,0,2,0,0,
K00615,0,0,0,0,0,0,0,
K07397,0,0,0,0,0,0,0,
K11901,0,0,0,0,0,0,0,
K02355,1,0,0,0,2,2,0,
K02992,0,2,0,0,2,2,0,
K02950,0,0,0,0,0,0,0,
K08973,4,2,0,0,0,0,0,
K01950,2,4,0,0,4,4,0,
K00954,0,0,0,0,0,0,0,
K03664,0,0,0,0,0,0,0,
K03809,0,0,0,0,0,0,0,
K05810,0,0,0,0,0,0,0,
K06180,0,0,0,0,0,0,0,
K05807,0,0,2,0,2,0,0,
K02316,0,0,0,0,0,0,2,
K02492,0,0,0,0,0,0,0,
K02494,0,0,0,0,0,0,0,
K00919,0,0,0,0,0,0,0,
K00948,2,2,2,1,8,0,0,
K02897,0,0,1,0,0,0,0,
K01056,0,0,0,0,0,0,0,
K01579,0,0,0,0,0,0,0,
K02858,0,0,0,0,2,0,0,
K01091,0,0,0,0,0,0,0,
K00059,3,0,3,0,0,0,0,
K02078,0,0,0,0,0,0,0,
K00645,0,0,2,0,0,0,0,
K07040,0,1,2,0,2,0,1,
K02911,0,0,0,0,0,0,0,
K09906,0,3,1,0,0,3,0,
K07566,2,0,0,0,0,0,0,
K05896,0,0,0,0,2,0,0,
K06024,0,0,0,0,0,2,0,
K06178,0,0,0,0,4,0,0,
K01935,0,0,0,0,0,0,0,
